Time,"User full name","Affected user","Event context",Component,"Event name",Description,Origin,"IP address"
"30/10/23, 15:07:22","Learn Second",-,System,System,"My courses viewed","The user with id '4' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:07:13","Learn Second","Learn Second","URL: 학습분석 위키페이지",System,"Course activity completion updated","The user with id '4' updated the completion state for the course module with id '7' for the user with id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:07:00","Learn Second",-,"URL: 학습분석 위키페이지",URL,"Course module viewed","The user with id '4' viewed the 'url' activity with course module id '7'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:58","Learn Second",-,"Course: 자바 기초",System,"Course viewed","The user with id '4' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:56","Learn Second",-,System,System,"My courses viewed","The user with id '4' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:54","Learn Second",-,"Course: 파이썬 기초",System,"Course viewed","The user with id '4' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:53","Learn Second","Learn Second","Course: 파이썬 기초","User report","Grade user report viewed","The user with id '4' viewed the user report in the gradebook.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:47","Learn Second",-,"Course: 파이썬 기초",System,"Course viewed","The user with id '4' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:45","Learn Second",-,System,System,"My courses viewed","The user with id '4' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:32","Learn Second",-,"URL: 학습분석 위키페이지",URL,"Course module viewed","The user with id '4' viewed the 'url' activity with course module id '7'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:27","Learn Second",-,"Course: 자바 기초",System,"Course viewed","The user with id '4' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:23","Learn Second","Learn Second","Page: 자바의 개요",System,"Course activity completion updated","The user with id '4' updated the completion state for the course module with id '6' for the user with id '4'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:03","Learn Second",-,"Page: 자바의 개요",Page,"Course module viewed","The user with id '4' viewed the 'page' activity with course module id '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:06:00","Learn Second",-,"Course: 자바 기초",System,"Course viewed","The user with id '4' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:05:50","Learn Second",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '4' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:05:41","Learn Second",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '4' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:05:39","Learn Second",-,"Course: 자바 기초",System,"Course viewed","The user with id '4' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:05:36","Learn Second",-,System,System,"My courses viewed","The user with id '4' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:05:33","Learn Second","Learn Second","User: Learn Second",System,"Dashboard viewed","The user with id '4' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:05:33","Learn Second",-,System,System,"User has logged in","The user with id '4' has logged in.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:51:08",-,-,"Site home",System,"Course viewed","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:51:08","Learner First",-,System,System,"User logged out","The user with id '3' has logged out.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:51:01","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:59","Learner First",-,System,System,"My courses viewed","The user with id '3' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:57","Learner First","Learner First","Forum: 자유게시판",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '5' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:40","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:38","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:33","Learner First",-,"Forum: 자유게시판",Forum,"Discussion viewed","The user with id '3' has viewed the discussion with id '3' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:32","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:30","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:29","Learner First","Learner First","Page: 자바의 개요",System,"Course activity completion updated","The user with id '3' updated the completion state for the course module with id '6' for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:27","Learner First",-,"Page: 자바의 개요",Page,"Course module viewed","The user with id '3' viewed the 'page' activity with course module id '6'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:25","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:50:23","Learner First",-,System,System,"My courses viewed","The user with id '3' has viewed their my courses page",web,0:0:0:0:0:0:0:1
